uid;error_id;start_vid;end_vid;error_val;type;level;geom
378337-380239;;378337;380239;0;No error;5;0104000020E61000000200000001010000008EFDD1DC2F85624077BF0AF0DDF140C001010000001E520C9028856240284B08B18EF240C0
387465-437591;;387465;437591;0;No error;5;0104000020E6100000020000000101000000119A136A3CB262400B96EA025E5042C00101000000B59EC66240B26240EEF8E582E94F42C0
531604-1711015;;531604;1711015;0;No error;5;0104000020E610000002000000010100000010C589543D86624046DE8321BCB941C0010100000036A2C56310876240F42D1801BABC41C0
883401-878240;611;883401;878240;70;Near error;5;0104000020E6100000020000000101000000D2EFB1AA94D6624061BB20C77BC03EC0010100000007921C55B2D66240B3AB353921BF3EC0
1339733-1343766;;1339733;1343766;0;No error;5;0104000020E61000000200000001010000008527F4FA53E66240AA0CE36E10DF40C001010000005DC6A8C666E66240B3AA6FAAFFDE40C0
966481-461112;;966481;461112;0;No error;5;0104000020E610000002000000010100000019D1D10550BF6240F19991E6346E40C001010000004CFDBCA908BF624037EAD78CC26E40C0
1015779-1686192;760;1015779;1686192;70;Near error;5;0104000020E61000000200000001010000007CF1457B3CC762405B9B21B0CD5241C00101000000D578E92631C76240D11ED4EA505441C0
1537815-1533468;;1537815;1533468;0;No error;5;0104000020E6100000020000000101000000C0513C78B76D6240A2D86553093E41C00101000000ACDD1BE8466C6240EF2B20FEAB4041C0
1718733-2211645;893;1718733;2211645;70;Near error;5;0104000020E61000000200000001010000003F32C280CA8662406AB1CA3B3DBF41C00101000000725B11EBC3866240A1D1C20A5CBF41C0
1751809-1115258;;1751809;1115258;0;No error;5;0104000020E61000000200000001010000002516421809AA6240FCD52D4CF0B240C001010000008115962E33AA62405260014C19B340C0
1150958-1146768;;1150958;1146768;0;No error;5;0104000020E610000002000000010100000090FBB1A4B7E86240BAE2981BC29440C00101000000FA754C82DCE8624026FDBD141E9540C0
1181803-2082681;788;1181803;2082681;70;Near error;5;0104000020E610000002000000010100000096DBACB08FBE6240D5A01E91A5993EC00101000000A21EEC5E78BE62404CB49A649A993EC0
1340173-481742;678;1340173;481742;70;Near error;5;0104000020E6100000020000000101000000FDFA7CEF4AF76240DC9E20B1DD5440C0010100000004BC163E6CF76240DD932CCCE75440C0
1349554-1929900;;1349554;1929900;0;No error;5;0104000020E6100000020000000101000000EFAE0EDB311A634041FCB26AC6923FC001010000003E14BB6CEA196340EAC3C43071933FC0
1503050-45549;;1503050;45549;0;No error;5;0104000020E6100000020000000101000000E6E555425CEA624067C7574CB69A40C00101000000B1863023A1E96240D74B5304389D40C0
1622453-875624;;1622453;875624;0;No error;5;0104000020E610000002000000010100000068C5DC5A4B1D6340EB26E77A914B3EC00101000000EE7BD45F2F1E63400F60915F3F483EC0
2085483-1611617;865;2085483;1611617;100;Error;5;0104000020E61000000200000001010000009B2F40EC5679624038B066AE1D0141C00101000000E3E13D0756796240D24C9C81360141C0
1723876-2211645;893;1723876;2211645;70;Near error;5;0104000020E61000000200000001010000000AB0D9DBF78662401292BBBEC5BD41C00101000000725B11EBC3866240A1D1C20A5CBF41C0
1759214-2077432;;1759214;2077432;0;No error;5;0104000020E61000000200000001010000008C8A9356571063402DB1321AF9483FC00101000000F4424B68DC0E6340BC0FF6DCF8473FC0
875896-878240;611;875896;878240;100;Error;5;0104000020E61000000200000001010000005219B5B1C8D66240795105ED1FBF3EC0010100000007921C55B2D66240B3AB353921BF3EC0
2211645-1718733;893;2211645;1718733;70;Near error;5;0104000020E6100000020000000101000000725B11EBC3866240A1D1C20A5CBF41C001010000003F32C280CA8662406AB1CA3B3DBF41C0
2087534-963313;865;2087534;963313;70;Near error;5;0104000020E61000000200000001010000005FCE119E757962401233FB3C460141C00101000000417452A9637962405F06088B2F0241C0
2152458-1518884;;2152458;1518884;0;No error;5;0104000020E61000000200000001010000003D0FEECE9A1A63409ADB734F0D1A3FC001010000009258F7344C1A63402A2D6D82B9173FC0
1064053-1074949;;1064053;1074949;0;No error;5;0104000020E610000002000000010100000088E41A55BC7E62403BCA1C26750440C00101000000323619FACC7E6240305DD2623A0440C0
2192703-113222;;2192703;113222;0;No error;5;0104000020E61000000200000001010000002E36525B4F9D624012F6ED24229141C00101000000CB9C2E8BC99E62401AB50C82D89041C0
48065-494036;542;48065;494036;100;Error;5;0104000020E6100000020000000101000000A3282BE124BB6240CE948C52F8D940C001010000005B069CA524BB624079E6E5B0FBD940C0
129319-92122;;129319;92122;0;No error;5;0104000020E6100000020000000101000000D291B7B7B6DF6240882359D130EC40C0010100000083C87D06AFDF624040B26FDD83EC40C0
195162-2052897;;195162;2052897;0;No error;5;0104000020E6100000020000000101000000FB03E5B6FDCE62408FB16E17F55D41C001010000007D1FB358AFCE62407C15CF8F755D41C0
288607-627991;645;288607;627991;70;Near error;5;0104000020E61000000200000001010000003B185696CDC4624093D222916CBF40C00101000000C8123180CBC4624064EAAEEC82BE40C0
305724-970117;;305724;970117;0;No error;5;0104000020E6100000020000000101000000B8054B75818F6240C7A75BD141D140C00101000000FA7DFFE6458E6240459C4EB2D5D240C0
324992-337497;650;324992;337497;100;Error;5;0104000020E61000000200000001010000004583143C85D96240CADC7C23BA3E41C0010100000084B2953C83D96240CA66B38FBA3E41C0
483090-1973437;;483090;1973437;0;No error;5;0104000020E6100000020000000101000000805C870F11486240CE1143BCBFC941C00101000000DDA051152E48624013DED4F665C741C0
530415-48234;;530415;48234;0;No error;5;0104000020E61000000200000001010000006BD9B518D7F06240EC38D961A78840C00101000000000CBA73D7F062400542A154B18840C0
665698-105294;;665698;105294;0;No error;5;0104000020E61000000200000001010000009FF87B73C9DF62401308E00B38EA40C00101000000EEEE5C73E2DF624068942EFD4BEA40C0
733251-718731;730;733251;718731;70;Near error;5;0104000020E610000002000000010100000002695ABD5EA16240EC9A351DA6D640C00101000000ABAE433565A162406B5D0FCB0BD640C0
733655-710243;;733655;710243;0;No error;5;0104000020E61000000200000001010000003A8ABD61ECAB6240F76D2D38282941C001010000004449EDEAFAAB624093DFA293A52941C0
863853-1062854;746;863853;1062854;70;Near error;5;0104000020E6100000020000000101000000EE1BA90881F26240DDEC0F94DB7D40C00101000000C875F81079F2624070BEC74F997D40C0
994763-1000098;760;994763;1000098;70;Near error;5;0104000020E6100000020000000101000000EFC27BB3F2C662408B8862F2065441C00101000000FC49C67B1FC7624008E753C72A5341C0
1018534-1876040;;1018534;1876040;0;No error;5;0104000020E610000002000000010100000005323B8B1E0A6340BF9D44847F793DC00101000000EFBB3324F8076340F83768AF3E303DC0
1061635-2251655;;1061635;2251655;0;No error;5;0104000020E6100000020000000101000000468A123E250F6340152BB4BD272540C00101000000412D060F930E6340C77B7A11122640C0
1107542-1063471;535;1107542;1063471;100;Error;5;0104000020E61000000200000001010000005F196547741D6340359078C3C7673EC0010100000014BF73396F1D6340600894A872653EC0
1116741-414286;;1116741;414286;0;No error;5;0104000020E61000000200000001010000003312465879C96240E5AAC31BE31241C00101000000E28B9BBFEECD62406A08D858D30841C0
1116959-1876040;;1116959;1876040;0;No error;5;0104000020E61000000200000001010000008069AC58170C63403ED3A645D8733DC00101000000EFBB3324F8076340F83768AF3E303DC0
1322670-1361901;813;1322670;1361901;70;Near error;5;0104000020E6100000020000000101000000F9FF2735EA2F63404B62FF2BE1CD3CC001010000001A5D948FD32F6340CE2A7D3210CD3CC0
1363830-1362965;818;1363830;1362965;100;Error;5;0104000020E6100000020000000101000000365DAA2D90DF62409335EA211AEE40C001010000008F0134A590DF624005DD5ED218EE40C0
1604690-1604517;861;1604690;1604517;100;Error;5;0104000020E6100000020000000101000000D9918F824C8F624089343B9C0A563FC00101000000E5B10BAB1D8F6240FB8FF1CDDB553FC0
1615947-1619416;866;1615947;1619416;100;Error;5;0104000020E6100000020000000101000000F722DA8E69EC62402AC76471FF1A40C00101000000B23A281759EC624096BEC6E4C31C40C0
1635254-1634843;876;1635254;1634843;100;Error;5;0104000020E6100000020000000101000000C2AD71EC4F0B6240352A70B20DAE40C00101000000598C1590510C62400C04013274B640C0
1650257-1738004;667;1650257;1738004;70;Near error;5;0104000020E6100000020000000101000000E0586144ECD96240C7962F794DCD40C001010000000EAB2E96D8D962407182250D24CE40C0
1758745-1748043;;1758745;1748043;0;No error;5;0104000020E61000000200000001010000007E1EA33CB3EB6140C77F2667CD383EC001010000007B33C5773DE66140F23279B93E363EC0
1795430-599659;;1795430;599659;0;No error;5;0104000020E6100000020000000101000000750069A4CAF662400B8D710F53843EC00101000000E2523AFD85F66240A92D1AD764823EC0
